#OBJECT = ASASSN-18sf
#MJD-OBS = 58348.604884
#DATE-OBS = 2018-08-18T14:31:02
#EXPTIME = 1820.000000
#AIRMASS = 1.635000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3307.060000 nan 5.367852e-33
3309.060000 nan 5.189395e-33
3311.060000 nan 4.980030e-33
3313.060000 nan 4.752600e-33
3315.060000 nan 4.742896e-33
3317.060000 nan 4.730006e-33
3319.060000 nan 4.726258e-33
3321.060000 nan 4.703797e-33
3323.060000 nan 4.640539e-33
3325.060000 nan 4.557928e-33
3327.060000 nan 4.639781e-33
3329.060000 nan 4.763743e-33
3331.060000 nan 4.636716e-33
3333.060000 nan 4.452759e-33
3335.060000 nan 4.393825e-33
3337.060000 nan 4.451926e-33
3339.060000 nan 4.210574e-33
3341.060000 nan 4.045936e-33
3343.060000 nan 3.986782e-33
3345.060000 nan 3.987291e-33
3347.060000 nan 3.936631e-33
3349.060000 nan 3.769142e-33
3351.060000 nan 3.587307e-33
3353.060000 nan 3.499640e-33
3355.060000 nan 3.414432e-33
3357.060000 nan 3.386019e-33
3359.060000 nan 3.366961e-33
3361.060000 nan 3.335071e-33
3363.060000 nan 3.347929e-33
3365.060000 nan 3.248320e-33
3367.060000 nan 3.379229e-33
3369.060000 nan 3.401111e-33
3371.060000 nan 3.351717e-33
3373.060000 nan 3.295786e-33
3375.060000 nan 3.233141e-33
3377.060000 nan 3.165692e-33
3379.060000 nan 3.146750e-33
3381.060000 nan 3.064834e-33
3383.060000 nan 2.972002e-33
3385.060000 nan 2.914490e-33
3387.060000 nan 2.884113e-33
3389.060000 nan 2.767587e-33
3391.060000 nan 2.699921e-33
3393.060000 nan 2.659923e-33
3395.060000 nan 2.762592e-33
3397.060000 nan 2.843583e-33
3399.060000 nan 2.759926e-33
3401.060000 nan 2.709490e-33
3403.060000 nan 2.648498e-33
3405.060000 nan 2.649270e-33
3407.060000 nan 2.605488e-33
3409.060000 nan 2.543033e-33
3411.060000 nan 2.475887e-33
3413.060000 nan 2.356111e-33
3415.060000 nan 2.338733e-33
3417.060000 nan 2.337978e-33
3419.060000 nan 2.305467e-33
3421.060000 nan 2.281053e-33
3423.060000 nan 2.272216e-33
3425.060000 nan 2.242072e-33
3427.060000 nan 2.183109e-33
3429.060000 nan 2.107750e-33
3431.060000 nan 2.093336e-33
3433.060000 nan 2.048835e-33
3435.060000 nan 2.012581e-33
3437.060000 nan 2.043687e-33
3439.060000 nan 1.963267e-33
3441.060000 nan 1.894913e-33
3443.060000 nan 1.863663e-33
3445.060000 nan 1.833563e-33
3447.060000 nan 1.852780e-33
3449.060000 nan 1.916346e-33
3451.060000 nan 1.856883e-33
3453.060000 nan 1.822434e-33
3455.060000 nan 1.768641e-33
3457.060000 nan 1.722859e-33
3459.060000 nan 1.666571e-33
3461.060000 nan 1.608575e-33
3463.060000 nan 1.599672e-33
3465.060000 nan 1.595212e-33
3467.060000 nan 1.582205e-33
3469.060000 nan 1.571954e-33
3471.060000 nan 1.550491e-33
3473.060000 nan 1.521746e-33
3475.060000 nan 1.509011e-33
3477.060000 nan 1.531469e-33
3479.060000 nan 1.496542e-33
3481.060000 nan 1.481116e-33
3483.060000 nan 1.492289e-33
3485.060000 nan 1.496731e-33
3487.060000 nan 1.467576e-33
3489.060000 nan 1.452633e-33
3491.060000 nan 1.415023e-33
3493.060000 nan 1.409971e-33
3495.060000 nan 1.413353e-33
3497.060000 nan 1.397800e-33
3499.060000 nan 1.371870e-33
3501.060000 nan 1.396723e-33
3503.060000 nan 1.356098e-33
3505.060000 nan 1.357437e-33
3507.060000 nan 1.340114e-33
3509.060000 nan 1.322820e-33
3511.060000 nan 1.311169e-33
3513.060000 nan 1.276344e-33
3515.060000 nan 1.255107e-33
3517.060000 nan 1.236513e-33
3519.060000 nan 1.223241e-33
3521.060000 nan 1.225449e-33
3523.060000 nan 1.232376e-33
3525.060000 nan 1.222307e-33
3527.060000 nan 1.203526e-33
3529.060000 nan 1.201466e-33
3531.060000 nan 1.185955e-33
3533.060000 nan 1.164127e-33
3535.060000 nan 1.151354e-33
3537.060000 nan 1.164585e-33
3539.060000 nan 1.216306e-33
3541.060000 nan 1.228960e-33
3543.060000 nan 1.217370e-33
3545.060000 nan 1.208613e-33
3547.060000 nan 1.191289e-33
3549.060000 nan 1.163769e-33
3551.060000 nan 1.162696e-33
3553.060000 nan 1.177949e-33
3555.060000 nan 1.182982e-33
3557.060000 nan 1.174870e-33
3559.060000 nan 1.149515e-33
3561.060000 nan 1.116638e-33
3563.060000 nan 1.096249e-33
3565.060000 nan 1.077397e-33
3567.060000 nan 1.067902e-33
3569.060000 nan 1.047105e-33
3571.060000 nan 1.026221e-33
3573.060000 nan 1.016319e-33
3575.060000 nan 1.017223e-33
3577.060000 nan 1.004101e-33
3579.060000 nan 1.006730e-33
3581.060000 nan 9.878847e-34
3583.060000 nan 9.834193e-34
3585.060000 nan 9.823337e-34
3587.060000 nan 9.625216e-34
3589.060000 nan 9.420536e-34
3591.060000 nan 9.514954e-34
3593.060000 nan 9.259826e-34
3595.060000 nan 9.038750e-34
3597.060000 nan 8.916721e-34
3599.060000 nan 8.863449e-34
3601.060000 nan 8.883266e-34
3603.060000 nan 8.849451e-34
3605.060000 nan 8.688264e-34
3607.060000 nan 8.535694e-34
3609.060000 nan 8.566673e-34
3611.060000 nan 8.633901e-34
3613.060000 nan 8.411985e-34
3615.060000 nan 8.517278e-34
3617.060000 nan 8.435155e-34
3619.060000 nan 8.454152e-34
3621.060000 nan 8.503331e-34
3623.060000 nan 8.508085e-34
3625.060000 nan 8.455769e-34
3627.060000 nan 8.426953e-34
3629.060000 nan 9.024140e-34
3631.060000 nan 9.252729e-34
3633.060000 nan 9.157860e-34
3635.060000 nan 8.898168e-34
3637.060000 nan 8.673648e-34
3639.060000 nan 8.667519e-34
3641.060000 nan 8.430515e-34
3643.060000 nan 8.404927e-34
3645.060000 nan 8.377064e-34
3647.060000 nan 8.265809e-34
3649.060000 nan 8.086108e-34
3651.060000 nan 7.916599e-34
3653.060000 nan 7.801523e-34
3655.060000 nan 7.811803e-34
3657.060000 nan 7.744875e-34
3659.060000 nan 7.640358e-34
3661.060000 nan 7.517322e-34
3663.060000 nan 7.346693e-34
3665.060000 nan 7.207305e-34
3667.060000 nan 7.221938e-34
3669.060000 nan 7.143718e-34
3671.060000 nan 6.950428e-34
3673.060000 nan 6.763041e-34
3675.060000 nan 6.683100e-34
3677.060000 nan 6.519957e-34
3679.060000 nan 6.455354e-34
3681.060000 nan 6.468439e-34
3683.060000 nan 6.346465e-34
3685.060000 nan 6.210975e-34
3687.060000 nan 6.235460e-34
3689.060000 nan 6.364753e-34
3691.060000 nan 6.379688e-34
3693.060000 nan 6.295238e-34
3695.060000 nan 6.240877e-34
3697.060000 nan 6.184413e-34
3699.060000 nan 6.137955e-34
3701.060000 nan 6.209491e-34
3703.060000 nan 6.286606e-34
3705.060000 nan 6.247304e-34
3707.060000 nan 6.138395e-34
3709.060000 nan 6.047895e-34
3711.060000 nan 6.044230e-34
3713.060000 nan 6.126588e-34
3715.060000 nan 6.124616e-34
3717.060000 nan 6.126953e-34
3719.060000 nan 6.120733e-34
3721.060000 nan 6.035437e-34
3723.060000 nan 5.928848e-34
3725.060000 nan 5.911582e-34
3727.060000 nan 6.002387e-34
3729.060000 nan 6.096452e-34
3731.060000 nan 6.125672e-34
3733.060000 nan 6.102017e-34
3735.060000 nan 6.132238e-34
3737.060000 nan 6.209050e-34
3739.060000 nan 6.085565e-34
3741.060000 nan 5.989628e-34
3743.060000 nan 6.020773e-34
3745.060000 nan 6.091488e-34
3747.060000 nan 6.106718e-34
3749.060000 nan 6.014969e-34
3751.060000 nan 5.832133e-34
3753.060000 nan 5.624035e-34
3755.060000 nan 5.492783e-34
3757.060000 nan 5.444533e-34
3759.060000 nan 5.411962e-34
3761.060000 nan 5.369767e-34
3763.060000 nan 5.338480e-34
3765.060000 nan 5.324587e-34
3767.060000 nan 5.331419e-34
3769.060000 nan 5.329570e-34
3771.060000 nan 5.312879e-34
3773.060000 nan 5.240235e-34
3775.060000 nan 5.135980e-34
3777.060000 nan 5.224456e-34
3779.060000 nan 5.156937e-34
3781.060000 nan 5.134421e-34
3783.060000 nan 5.157829e-34
3785.060000 nan 5.099028e-34
3787.060000 nan 4.926694e-34
3789.060000 nan 4.837638e-34
3791.060000 nan 4.876238e-34
3793.060000 nan 4.857181e-34
3795.060000 nan 4.781609e-34
3797.060000 nan 4.708287e-34
3799.060000 nan 4.681236e-34
3801.060000 nan 4.699117e-34
3803.060000 nan 4.709644e-34
3805.060000 nan 4.634478e-34
3807.060000 nan 4.537001e-34
3809.060000 nan 4.487885e-34
3811.060000 nan 4.506630e-34
3813.060000 nan 4.542752e-34
3815.060000 nan 4.455116e-34
3817.060000 nan 4.540038e-34
3819.060000 nan 4.529243e-34
3821.060000 nan 4.529227e-34
3823.060000 nan 4.553982e-34
3825.060000 nan 4.572597e-34
3827.060000 nan 4.601015e-34
3829.060000 nan 4.750111e-34
3831.060000 nan 4.726006e-34
3833.060000 nan 4.639973e-34
3835.060000 nan 4.599256e-34
3837.060000 nan 4.614922e-34
3839.060000 nan 4.575110e-34
3841.060000 nan 4.566813e-34
3843.060000 nan 4.474711e-34
3845.060000 nan 4.434737e-34
3847.060000 nan 4.418841e-34
3849.060000 nan 4.405977e-34
3851.060000 nan 4.402406e-34
3853.060000 nan 4.292129e-34
3855.060000 nan 4.214701e-34
3857.060000 nan 4.230185e-34
3859.060000 nan 4.244110e-34
3861.060000 nan 4.205595e-34
3863.060000 nan 4.132204e-34
3865.060000 nan 4.097391e-34
3867.060000 nan 4.031806e-34
3869.060000 nan 3.995712e-34
3871.060000 nan 3.983304e-34
3873.060000 nan 3.989859e-34
3875.060000 nan 4.000727e-34
3877.060000 nan 3.980929e-34
3879.060000 nan 4.004765e-34
3881.060000 nan 3.932984e-34
3883.060000 nan 3.890374e-34
3885.060000 nan 3.874422e-34
3887.060000 nan 3.861493e-34
3889.060000 nan 3.864027e-34
3891.060000 nan 3.922242e-34
3893.060000 nan 3.875550e-34
3895.060000 nan 3.837258e-34
3897.060000 nan 3.794449e-34
3899.060000 nan 3.741634e-34
3901.060000 nan 3.702017e-34
3903.060000 nan 3.682288e-34
3905.060000 nan 3.672526e-34
3907.060000 nan 3.625761e-34
3909.060000 nan 3.561085e-34
3911.060000 nan 3.526527e-34
3913.060000 nan 3.563044e-34
3915.060000 nan 3.652134e-34
3917.060000 nan 3.625160e-34
3919.060000 nan 3.520766e-34
3921.060000 nan 3.444850e-34
3923.060000 nan 3.428430e-34
3925.060000 nan 3.462852e-34
3927.060000 nan 3.537107e-34
3929.060000 nan 3.560076e-34
3931.060000 nan 3.535648e-34
3933.060000 nan 3.527981e-34
3935.060000 nan 3.605995e-34
3937.060000 nan 3.731877e-34
3939.060000 nan 3.747433e-34
3941.060000 nan 3.626309e-34
3943.060000 nan 3.568482e-34
3945.060000 nan 3.624632e-34
3947.060000 nan 3.651810e-34
3949.060000 nan 3.606806e-34
3951.060000 nan 3.568641e-34
3953.060000 nan 3.585282e-34
3955.060000 nan 3.537588e-34
3957.060000 nan 3.520632e-34
3959.060000 nan 3.545967e-34
