#OBJECT = ATLAS18toh
#MJD-OBS = 58348.322280
#DATE-OBS = 2018-08-18T07:44:05
#EXPTIME = 1220.000000
#AIRMASS = 1.288000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3307.060000 nan 4.577246e-33
3309.060000 nan 4.545947e-33
3311.060000 nan 4.356891e-33
3313.060000 nan 4.298764e-33
3315.060000 nan 4.119930e-33
3317.060000 nan 4.060732e-33
3319.060000 nan 3.937534e-33
3321.060000 nan 3.876778e-33
3323.060000 nan 3.923370e-33
3325.060000 nan 3.934773e-33
3327.060000 nan 3.736129e-33
3329.060000 nan 4.013279e-33
3331.060000 nan 3.911559e-33
3333.060000 nan 3.724803e-33
3335.060000 nan 3.663817e-33
3337.060000 nan 3.701131e-33
3339.060000 nan 3.698239e-33
3341.060000 nan 3.537027e-33
3343.060000 nan 3.384606e-33
3345.060000 nan 3.340888e-33
3347.060000 nan 3.313143e-33
3349.060000 nan 3.215027e-33
3351.060000 nan 3.205779e-33
3353.060000 nan 3.062957e-33
3355.060000 nan 3.055866e-33
3357.060000 nan 3.070126e-33
3359.060000 nan 2.997705e-33
3361.060000 nan 2.865075e-33
3363.060000 nan 2.866518e-33
3365.060000 nan 2.909853e-33
3367.060000 nan 2.911694e-33
3369.060000 nan 2.876026e-33
3371.060000 nan 2.869016e-33
3373.060000 nan 2.886086e-33
3375.060000 nan 2.856182e-33
3377.060000 nan 2.844229e-33
3379.060000 nan 2.669842e-33
3381.060000 nan 2.654369e-33
3383.060000 nan 2.657325e-33
3385.060000 nan 2.610182e-33
3387.060000 nan 2.534869e-33
3389.060000 nan 2.421641e-33
3391.060000 nan 2.462884e-33
3393.060000 nan 2.363896e-33
3395.060000 nan 2.406390e-33
3397.060000 nan 2.481969e-33
3399.060000 nan 2.413848e-33
3401.060000 nan 2.334631e-33
3403.060000 nan 2.304213e-33
3405.060000 nan 2.264207e-33
3407.060000 nan 2.196002e-33
3409.060000 nan 2.145960e-33
3411.060000 nan 2.139406e-33
3413.060000 nan 2.142974e-33
3415.060000 nan 2.158004e-33
3417.060000 nan 2.088236e-33
3419.060000 nan 2.032120e-33
3421.060000 nan 1.998588e-33
3423.060000 nan 1.956934e-33
3425.060000 nan 1.889373e-33
3427.060000 nan 1.948118e-33
3429.060000 nan 1.938162e-33
3431.060000 nan 1.896748e-33
3433.060000 nan 1.825463e-33
3435.060000 nan 1.786978e-33
3437.060000 nan 1.819583e-33
3439.060000 nan 1.768005e-33
3441.060000 nan 1.725765e-33
3443.060000 nan 1.655344e-33
3445.060000 nan 1.616626e-33
3447.060000 nan 1.623879e-33
3449.060000 nan 1.661864e-33
3451.060000 nan 1.705099e-33
