#OBJECT = ATLAS18tpn
#MJD-OBS = 58348.397269
#DATE-OBS = 2018-08-18T09:32:04
#EXPTIME = 1220.000000
#AIRMASS = 1.428000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3307.060000 nan 7.574015e-33
3309.060000 nan 7.356560e-33
3311.060000 nan 7.054006e-33
3313.060000 nan 7.030162e-33
3315.060000 nan 6.982764e-33
3317.060000 nan 6.679129e-33
3319.060000 nan 6.449494e-33
3321.060000 nan 6.413820e-33
3323.060000 nan 6.459176e-33
3325.060000 nan 6.340922e-33
3327.060000 nan 6.234273e-33
3329.060000 nan 6.656852e-33
3331.060000 nan 6.550187e-33
3333.060000 nan 6.255406e-33
3335.060000 nan 6.108001e-33
3337.060000 nan 6.107549e-33
3339.060000 nan 5.689961e-33
3341.060000 nan 5.617698e-33
3343.060000 nan 5.557305e-33
3345.060000 nan 5.502574e-33
3347.060000 nan 5.398932e-33
3349.060000 nan 5.233000e-33
3351.060000 nan 5.152090e-33
3353.060000 nan 4.983117e-33
3355.060000 nan 4.918513e-33
3357.060000 nan 4.915830e-33
3359.060000 nan 4.831770e-33
3361.060000 nan 4.661375e-33
3363.060000 nan 4.627651e-33
3365.060000 nan 4.554507e-33
3367.060000 nan 4.822272e-33
3369.060000 nan 4.931162e-33
3371.060000 nan 4.863043e-33
3373.060000 nan 4.735174e-33
3375.060000 nan 4.654301e-33
3377.060000 nan 4.543723e-33
3379.060000 nan 4.423901e-33
3381.060000 nan 4.218682e-33
3383.060000 nan 4.066855e-33
3385.060000 nan 4.020275e-33
3387.060000 nan 4.019791e-33
3389.060000 nan 3.938472e-33
3391.060000 nan 3.946109e-33
3393.060000 nan 3.853707e-33
3395.060000 nan 3.928058e-33
3397.060000 nan 4.003055e-33
3399.060000 nan 3.891083e-33
3401.060000 nan 3.840419e-33
3403.060000 nan 3.825334e-33
3405.060000 nan 3.683057e-33
3407.060000 nan 3.602430e-33
3409.060000 nan 3.516883e-33
3411.060000 nan 3.405471e-33
3413.060000 nan 3.402611e-33
3415.060000 nan 3.312735e-33
3417.060000 nan 3.461403e-33
3419.060000 nan 3.437413e-33
3421.060000 nan 3.368139e-33
3423.060000 nan 3.318804e-33
3425.060000 nan 3.202322e-33
3427.060000 nan 3.033534e-33
3429.060000 nan 2.935607e-33
3431.060000 nan 2.912525e-33
3433.060000 nan 2.885418e-33
3435.060000 nan 2.868866e-33
3437.060000 nan 2.893545e-33
3439.060000 nan 2.825878e-33
3441.060000 nan 2.793675e-33
3443.060000 nan 2.738039e-33
3445.060000 nan 2.656604e-33
3447.060000 nan 2.637448e-33
3449.060000 nan 2.708785e-33
3451.060000 nan 2.714912e-33
3453.060000 nan 2.643841e-33
3455.060000 nan 2.593344e-33
3457.060000 nan 2.519375e-33
3459.060000 nan 2.437516e-33
3461.060000 nan 2.366244e-33
3463.060000 nan 2.309166e-33
3465.060000 nan 2.336519e-33
3467.060000 nan 2.316360e-33
3469.060000 nan 2.325796e-33
3471.060000 nan 2.325223e-33
3473.060000 nan 2.309158e-33
3475.060000 nan 2.317134e-33
3477.060000 nan 2.361872e-33
3479.060000 nan 2.300437e-33
3481.060000 nan 2.248384e-33
3483.060000 nan 2.205866e-33
3485.060000 nan 2.146985e-33
3487.060000 nan 2.067962e-33
3489.060000 nan 2.049399e-33
3491.060000 nan 2.028146e-33
3493.060000 nan 1.996832e-33
3495.060000 nan 1.982787e-33
3497.060000 nan 1.949051e-33
3499.060000 nan 1.879010e-33
3501.060000 nan 1.839648e-33
3503.060000 nan 1.865849e-33
3505.060000 nan 1.883463e-33
3507.060000 nan 1.905001e-33
3509.060000 nan 1.916963e-33
3511.060000 nan 1.899375e-33
3513.060000 nan 1.844710e-33
3515.060000 nan 1.820546e-33
3517.060000 nan 1.793457e-33
3519.060000 nan 1.757502e-33
3521.060000 nan 1.724697e-33
3523.060000 nan 1.717460e-33
3525.060000 nan 1.741951e-33
3527.060000 nan 1.718881e-33
3529.060000 nan 1.738783e-33
3531.060000 nan 1.724754e-33
3533.060000 nan 1.706531e-33
3535.060000 nan 1.694160e-33
3537.060000 nan 1.691256e-33
3539.060000 nan 1.725969e-33
3541.060000 nan 1.730762e-33
3543.060000 nan 1.718920e-33
3545.060000 nan 1.721836e-33
3547.060000 nan 1.722173e-33
3549.060000 nan 1.698236e-33
3551.060000 nan 1.656500e-33
3553.060000 nan 1.619084e-33
3555.060000 nan 1.578237e-33
3557.060000 nan 1.562929e-33
3559.060000 nan 1.568767e-33
3561.060000 nan 1.580573e-33
3563.060000 nan 1.581295e-33
3565.060000 nan 1.548662e-33
3567.060000 nan 1.508563e-33
3569.060000 nan 1.472488e-33
3571.060000 nan 1.458693e-33
3573.060000 nan 1.465321e-33
3575.060000 nan 1.471557e-33
3577.060000 nan 1.450209e-33
3579.060000 nan 1.443192e-33
3581.060000 nan 1.416875e-33
3583.060000 nan 1.399296e-33
3585.060000 nan 1.389788e-33
3587.060000 nan 1.374878e-33
3589.060000 nan 1.354567e-33
3591.060000 nan 1.354858e-33
3593.060000 nan 1.365029e-33
3595.060000 nan 1.356042e-33
3597.060000 nan 1.327500e-33
3599.060000 nan 1.290717e-33
3601.060000 nan 1.257021e-33
3603.060000 nan 1.238468e-33
3605.060000 nan 1.239073e-33
3607.060000 nan 1.228096e-33
3609.060000 nan 1.232416e-33
3611.060000 nan 1.253207e-33
3613.060000 nan 1.258328e-33
3615.060000 nan 1.259805e-33
3617.060000 nan 1.244201e-33
3619.060000 nan 1.271959e-33
3621.060000 nan 1.290099e-33
3623.060000 nan 1.271601e-33
3625.060000 nan 1.227181e-33
3627.060000 nan 1.186235e-33
3629.060000 nan 1.251647e-33
3631.060000 nan 1.268727e-33
3633.060000 nan 1.280751e-33
3635.060000 nan 1.283868e-33
3637.060000 nan 1.260169e-33
3639.060000 nan 1.223813e-33
3641.060000 nan 1.221404e-33
3643.060000 nan 1.197303e-33
3645.060000 nan 1.184776e-33
3647.060000 nan 1.185929e-33
3649.060000 nan 1.186852e-33
3651.060000 nan 1.170821e-33
3653.060000 nan 1.154144e-33
3655.060000 nan 1.126735e-33
3657.060000 nan 1.119212e-33
3659.060000 nan 1.112609e-33
3661.060000 nan 1.089984e-33
3663.060000 nan 1.054705e-33
3665.060000 nan 1.046590e-33
3667.060000 nan 1.046115e-33
3669.060000 nan 1.045349e-33
3671.060000 nan 1.040039e-33
3673.060000 nan 1.017169e-33
3675.060000 nan 9.758012e-34
3677.060000 nan 9.664420e-34
3679.060000 nan 9.790153e-34
3681.060000 nan 9.739028e-34
3683.060000 nan 9.519635e-34
3685.060000 nan 9.354351e-34
3687.060000 nan 9.373631e-34
3689.060000 nan 9.359127e-34
3691.060000 nan 9.225091e-34
3693.060000 nan 9.088774e-34
3695.060000 nan 8.986815e-34
3697.060000 nan 8.990360e-34
3699.060000 nan 9.104079e-34
3701.060000 nan 9.227286e-34
3703.060000 nan 9.201061e-34
3705.060000 nan 9.144724e-34
3707.060000 nan 9.086924e-34
3709.060000 nan 8.936373e-34
3711.060000 nan 8.828187e-34
3713.060000 nan 8.972572e-34
3715.060000 nan 8.924278e-34
3717.060000 nan 8.882340e-34
3719.060000 nan 8.838534e-34
3721.060000 nan 8.797937e-34
3723.060000 nan 8.694662e-34
3725.060000 nan 8.525960e-34
3727.060000 nan 8.569556e-34
3729.060000 nan 8.730518e-34
3731.060000 nan 8.664943e-34
3733.060000 nan 8.555969e-34
3735.060000 nan 8.517232e-34
3737.060000 nan 8.546030e-34
3739.060000 nan 8.514585e-34
3741.060000 nan 8.444110e-34
3743.060000 nan 8.388801e-34
3745.060000 nan 8.383194e-34
3747.060000 nan 8.299584e-34
3749.060000 nan 8.113837e-34
3751.060000 nan 7.973840e-34
3753.060000 nan 7.954769e-34
3755.060000 nan 8.047067e-34
3757.060000 nan 8.076464e-34
3759.060000 nan 8.042008e-34
3761.060000 nan 8.011052e-34
3763.060000 nan 8.050189e-34
3765.060000 nan 8.095123e-34
3767.060000 nan 7.956547e-34
3769.060000 nan 7.769072e-34
3771.060000 nan 7.650979e-34
3773.060000 nan 7.573938e-34
3775.060000 nan 7.497104e-34
3777.060000 nan 7.564685e-34
3779.060000 nan 7.594917e-34
3781.060000 nan 7.624447e-34
3783.060000 nan 7.527637e-34
3785.060000 nan 7.377628e-34
3787.060000 nan 7.274025e-34
3789.060000 nan 7.214177e-34
3791.060000 nan 7.118538e-34
3793.060000 nan 7.060159e-34
3795.060000 nan 6.938554e-34
3797.060000 nan 6.797591e-34
3799.060000 nan 6.726946e-34
3801.060000 nan 6.791374e-34
3803.060000 nan 6.874612e-34
3805.060000 nan 6.997959e-34
3807.060000 nan 7.038677e-34
3809.060000 nan 6.925850e-34
3811.060000 nan 6.788588e-34
3813.060000 nan 6.847283e-34
3815.060000 nan 7.115912e-34
3817.060000 nan 7.142795e-34
3819.060000 nan 6.914945e-34
3821.060000 nan 6.837901e-34
3823.060000 nan 6.872920e-34
3825.060000 nan 6.831817e-34
3827.060000 nan 6.800551e-34
3829.060000 nan 6.879374e-34
3831.060000 nan 6.995889e-34
3833.060000 nan 7.095214e-34
3835.060000 nan 7.118293e-34
3837.060000 nan 7.059091e-34
3839.060000 nan 6.990011e-34
3841.060000 nan 6.967078e-34
3843.060000 nan 6.973911e-34
3845.060000 nan 6.921116e-34
3847.060000 nan 6.890839e-34
3849.060000 nan 6.881250e-34
3851.060000 nan 6.781542e-34
3853.060000 nan 6.597014e-34
3855.060000 nan 6.655444e-34
3857.060000 nan 6.758485e-34
3859.060000 nan 6.781177e-34
3861.060000 nan 6.728074e-34
3863.060000 nan 6.658052e-34
3865.060000 nan 6.498761e-34
3867.060000 nan 6.437627e-34
3869.060000 nan 6.334204e-34
3871.060000 nan 6.163303e-34
3873.060000 nan 5.996774e-34
3875.060000 nan 5.905158e-34
3877.060000 nan 5.858190e-34
3879.060000 nan 5.907920e-34
3881.060000 nan 6.000412e-34
3883.060000 nan 5.921900e-34
3885.060000 nan 5.797951e-34
3887.060000 nan 5.748833e-34
3889.060000 nan 5.712102e-34
3891.060000 nan 5.583567e-34
3893.060000 nan 5.572693e-34
3895.060000 nan 5.526938e-34
3897.060000 nan 5.523566e-34
3899.060000 nan 5.574938e-34
3901.060000 nan 5.591809e-34
3903.060000 nan 5.527377e-34
3905.060000 nan 5.543732e-34
3907.060000 nan 5.635315e-34
3909.060000 nan 5.760864e-34
3911.060000 nan 5.849642e-34
3913.060000 nan 5.835310e-34
3915.060000 nan 5.705389e-34
3917.060000 nan 5.584318e-34
3919.060000 nan 5.647177e-34
3921.060000 nan 5.636360e-34
3923.060000 nan 5.559734e-34
3925.060000 nan 5.516709e-34
3927.060000 nan 5.513215e-34
3929.060000 nan 5.554005e-34
3931.060000 nan 5.563975e-34
3933.060000 nan 5.620404e-34
3935.060000 nan 5.736442e-34
3937.060000 nan 5.841661e-34
3939.060000 nan 5.817689e-34
3941.060000 nan 5.791676e-34
3943.060000 nan 5.742603e-34
3945.060000 nan 5.802450e-34
3947.060000 nan 5.787081e-34
3949.060000 nan 5.669530e-34
3951.060000 nan 5.597799e-34
3953.060000 nan 5.603645e-34
3955.060000 nan 5.561836e-34
3957.060000 nan 5.621876e-34
3959.060000 nan 5.713620e-34
3961.060000 nan 5.745115e-34
3963.060000 nan 5.687623e-34
3965.060000 nan 5.672219e-34
3967.060000 nan 5.694657e-34
3969.060000 nan 5.806482e-34
3971.060000 nan 5.911764e-34
3973.060000 nan 5.965219e-34
3975.060000 nan 5.992259e-34
3977.060000 nan 6.086406e-34
3979.060000 nan 6.205703e-34
3981.060000 nan 6.242072e-34
3983.060000 nan 6.202733e-34
3985.060000 nan 6.118580e-34
3987.060000 nan 5.992261e-34
3989.060000 nan 5.812169e-34
3991.060000 nan 5.793313e-34
3993.060000 nan 5.791177e-34
3995.060000 nan 5.616632e-34
3997.060000 nan 5.437425e-34
3999.060000 nan 5.326816e-34
4001.060000 nan 5.221969e-34
4003.060000 nan 5.062745e-34
4005.060000 nan 4.946423e-34
4007.060000 nan 4.832390e-34
4009.060000 nan 4.837098e-34
4011.060000 nan 4.905050e-34
4013.060000 nan 4.913381e-34
4015.060000 nan 4.850654e-34
4017.060000 nan 4.864289e-34
4019.060000 nan 4.833563e-34
4021.060000 nan 4.799093e-34
4023.060000 nan 4.759969e-34
4025.060000 nan 4.753661e-34
4027.060000 nan 4.877151e-34
4029.060000 nan 4.795669e-34
4031.060000 nan 4.751835e-34
4033.060000 nan 4.765718e-34
4035.060000 nan 4.758678e-34
4037.060000 nan 4.729765e-34
4039.060000 nan 4.768923e-34
4041.060000 nan 4.796703e-34
4043.060000 nan 4.732503e-34
4045.060000 nan 4.705252e-34
4047.060000 nan 4.742810e-34
4049.060000 nan 4.778321e-34
4051.060000 nan 4.729960e-34
4053.060000 nan 4.686360e-34
4055.060000 nan 4.620333e-34
4057.060000 nan 4.705864e-34
4059.060000 nan 4.829274e-34
4061.060000 nan 4.888300e-34
4063.060000 nan 4.863239e-34
4065.060000 nan 4.869976e-34
4067.060000 nan 4.885478e-34
4069.060000 nan 4.869644e-34
4071.060000 nan 4.860252e-34
4073.060000 nan 4.850054e-34
4075.060000 nan 4.841508e-34
4077.060000 nan 4.873854e-34
4079.060000 nan 4.952918e-34
4081.060000 nan 5.081942e-34
4083.060000 nan 5.027397e-34
4085.060000 nan 4.924307e-34
4087.060000 nan 4.896993e-34
4089.060000 nan 4.934854e-34
4091.060000 nan 4.882054e-34
4093.060000 nan 4.801276e-34
4095.060000 nan 4.659880e-34
4097.060000 nan 4.593481e-34
4099.060000 nan 4.592503e-34
4101.060000 nan 4.558533e-34
4103.060000 nan 4.515132e-34
4105.060000 nan 4.576493e-34
4107.060000 nan 4.549377e-34
4109.060000 nan 4.510473e-34
4111.060000 nan 4.450619e-34
4113.060000 nan 4.368542e-34
4115.060000 nan 4.377749e-34
4117.060000 nan 4.457705e-34
4119.060000 nan 4.413589e-34
4121.060000 nan 4.433648e-34
4123.060000 nan 4.476860e-34
