#OBJECT = ATLAS18tpr
#MJD-OBS = 58348.373229
#DATE-OBS = 2018-08-18T08:57:27
#EXPTIME = 1520.000000
#AIRMASS = 1.184000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3305.060000 -9.729048e-18 3.227651e-33
3307.060000 2.299218e-17 2.907964e-33
3309.060000 3.867701e-17 2.980534e-33
3311.060000 6.600325e-17 3.375311e-33
3313.060000 8.433587e-17 3.781071e-33
3315.060000 4.622208e-18 3.440387e-33
3317.060000 -1.074150e-17 2.827627e-33
3319.060000 -6.529191e-18 2.537105e-33
3321.060000 3.912910e-17 2.619433e-33
3323.060000 8.740465e-17 3.081615e-33
3325.060000 2.365497e-17 3.436423e-33
3327.060000 5.093610e-17 3.394657e-33
3329.060000 3.018161e-17 2.926640e-33
3331.060000 -2.792079e-18 2.486355e-33
3333.060000 -1.460505e-17 2.370463e-33
3335.060000 1.906468e-18 2.577246e-33
3337.060000 3.049024e-17 3.174611e-33
3339.060000 1.158095e-18 3.228442e-33
3341.060000 3.760351e-17 2.785449e-33
3343.060000 -1.280396e-18 2.277072e-33
3345.060000 -1.999139e-17 2.076135e-33
3347.060000 -2.529428e-17 2.160934e-33
3349.060000 -4.103148e-17 2.415817e-33
3351.060000 -7.675861e-18 2.693990e-33
3353.060000 -6.127248e-17 2.346697e-33
3355.060000 -2.482160e-17 2.016707e-33
3357.060000 1.903440e-18 1.826716e-33
3359.060000 7.022466e-18 1.874362e-33
3361.060000 -1.081716e-18 2.106436e-33
3363.060000 8.025210e-19 2.454056e-33
3365.060000 -1.633754e-17 2.388363e-33
3367.060000 -9.487904e-18 2.000569e-33
3369.060000 1.808432e-17 1.808711e-33
3371.060000 1.669944e-17 1.815289e-33
3373.060000 -1.085815e-17 2.000341e-33
3375.060000 -3.100174e-18 2.349576e-33
3377.060000 -4.509610e-17 2.269438e-33
3379.060000 -2.647067e-17 1.885156e-33
3381.060000 -2.119868e-17 1.598467e-33
3383.060000 -1.101830e-17 1.526179e-33
3385.060000 -4.604956e-18 1.664182e-33
3387.060000 -2.158708e-17 1.973989e-33
3389.060000 -4.160149e-17 2.041502e-33
3391.060000 -1.207524e-17 1.791950e-33
3393.060000 -1.245327e-17 1.460636e-33
3395.060000 -4.368088e-18 1.405738e-33
3397.060000 1.088047e-17 1.560480e-33
3399.060000 2.395169e-17 1.823133e-33
3401.060000 3.960217e-17 1.990685e-33
3403.060000 3.098855e-17 1.798559e-33
3405.060000 2.461044e-17 1.470011e-33
3407.060000 4.090196e-17 1.318356e-33
3409.060000 5.082300e-17 1.352738e-33
3411.060000 3.484961e-17 1.539697e-33
3413.060000 3.571283e-18 1.724778e-33
3415.060000 -4.586030e-17 1.606722e-33
3417.060000 -1.131474e-17 1.386335e-33
3419.060000 -1.738472e-17 1.186314e-33
3421.060000 -1.498061e-17 1.173012e-33
3423.060000 1.987989e-17 1.344288e-33
3425.060000 7.644817e-17 1.626309e-33
3427.060000 8.261913e-17 1.619048e-33
3429.060000 6.946252e-17 1.335620e-33
3431.060000 3.553854e-17 1.130241e-33
3433.060000 2.555843e-17 1.071988e-33
3435.060000 2.786374e-17 1.158027e-33
3437.060000 7.748269e-18 1.335891e-33
3439.060000 -2.171810e-17 1.380110e-33
3441.060000 7.329976e-18 1.228384e-33
3443.060000 1.493147e-17 1.024499e-33
3445.060000 -1.310223e-18 9.383241e-34
3447.060000 -1.716567e-17 9.919722e-34
3449.060000 -1.275060e-17 1.187745e-33
3451.060000 -7.887242e-18 1.339130e-33
3453.060000 8.079443e-18 1.243440e-33
3455.060000 7.772390e-20 9.977353e-34
3457.060000 -8.029146e-18 8.886426e-34
3459.060000 -1.461648e-17 9.024763e-34
3461.060000 -1.812670e-17 1.013194e-33
3463.060000 -1.345037e-17 1.206924e-33
3465.060000 2.779286e-17 1.219066e-33
3467.060000 5.863634e-17 1.014292e-33
3469.060000 3.578927e-17 8.715013e-34
3471.060000 1.304233e-17 8.539637e-34
3473.060000 1.008223e-17 9.549581e-34
3475.060000 1.384003e-17 1.126781e-33
3477.060000 3.131078e-17 1.190272e-33
3479.060000 3.134242e-18 9.898067e-34
3481.060000 -2.042328e-17 8.448803e-34
3483.060000 -2.360162e-17 8.016629e-34
3485.060000 -2.160240e-18 8.684520e-34
3487.060000 3.521307e-17 1.024281e-33
3489.060000 4.150848e-17 1.113739e-33
3491.060000 1.830599e-17 9.600588e-34
