#OBJECT = ATLAS18tus
#MJD-OBS = 58348.492431
#DATE-OBS = 2018-08-18T11:49:06
#EXPTIME = 1820.000000
#AIRMASS = 1.204000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3307.060000 nan 1.192693e-32
3309.060000 nan 1.152871e-32
3311.060000 nan 1.115613e-32
3313.060000 nan 1.084728e-32
3315.060000 nan 1.052933e-32
3317.060000 nan 1.023574e-32
3319.060000 nan 1.007967e-32
3321.060000 nan 1.017336e-32
3323.060000 nan 1.027854e-32
3325.060000 nan 9.923019e-33
3327.060000 nan 9.559600e-33
3329.060000 nan 9.920848e-33
3331.060000 nan 1.001194e-32
3333.060000 nan 9.808628e-33
3335.060000 nan 9.607832e-33
3337.060000 nan 9.637020e-33
3339.060000 nan 9.366621e-33
3341.060000 nan 9.073105e-33
3343.060000 nan 8.812193e-33
3345.060000 nan 8.551327e-33
3347.060000 nan 8.301756e-33
3349.060000 nan 8.100156e-33
3351.060000 nan 7.974542e-33
3353.060000 nan 7.848717e-33
3355.060000 nan 7.720928e-33
3357.060000 nan 7.547621e-33
3359.060000 nan 7.335522e-33
3361.060000 nan 7.125562e-33
3363.060000 nan 6.981688e-33
3365.060000 nan 7.036256e-33
3367.060000 nan 7.200992e-33
3369.060000 nan 7.323436e-33
3371.060000 nan 7.356608e-33
3373.060000 nan 7.253021e-33
3375.060000 nan 6.987072e-33
3377.060000 nan 6.778448e-33
3379.060000 nan 6.664209e-33
3381.060000 nan 6.556406e-33
3383.060000 nan 6.446025e-33
3385.060000 nan 6.386111e-33
3387.060000 nan 6.389353e-33
3389.060000 nan 6.216169e-33
3391.060000 nan 6.051425e-33
3393.060000 nan 5.912578e-33
3395.060000 nan 6.023359e-33
3397.060000 nan 6.131803e-33
3399.060000 nan 5.992204e-33
3401.060000 nan 5.881630e-33
3403.060000 nan 5.694606e-33
3405.060000 nan 5.494573e-33
3407.060000 nan 5.407208e-33
3409.060000 nan 5.370325e-33
3411.060000 nan 5.279135e-33
3413.060000 nan 5.084574e-33
3415.060000 nan 4.904928e-33
3417.060000 nan 4.905514e-33
3419.060000 nan 4.857874e-33
3421.060000 nan 4.807335e-33
3423.060000 nan 4.767814e-33
3425.060000 nan 4.685244e-33
3427.060000 nan 4.593696e-33
3429.060000 nan 4.495512e-33
3431.060000 nan 4.408954e-33
3433.060000 nan 4.365497e-33
3435.060000 nan 4.303558e-33
3437.060000 nan 4.158291e-33
3439.060000 nan 4.042452e-33
3441.060000 nan 3.962694e-33
3443.060000 nan 3.910873e-33
3445.060000 nan 3.857985e-33
3447.060000 nan 3.866292e-33
3449.060000 nan 3.930640e-33
3451.060000 nan 3.854360e-33
3453.060000 nan 3.813928e-33
3455.060000 nan 3.752705e-33
3457.060000 nan 3.630299e-33
3459.060000 nan 3.544439e-33
3461.060000 nan 3.527130e-33
3463.060000 nan 3.480099e-33
3465.060000 nan 3.418510e-33
3467.060000 nan 3.405612e-33
3469.060000 nan 3.385162e-33
3471.060000 nan 3.314475e-33
3473.060000 nan 3.223907e-33
3475.060000 nan 3.196159e-33
3477.060000 nan 3.264598e-33
3479.060000 nan 3.228964e-33
3481.060000 nan 3.218349e-33
3483.060000 nan 3.217858e-33
3485.060000 nan 3.176185e-33
3487.060000 nan 3.092586e-33
3489.060000 nan 3.134809e-33
3491.060000 nan 3.039778e-33
3493.060000 nan 2.969965e-33
3495.060000 nan 2.940755e-33
3497.060000 nan 2.919136e-33
3499.060000 nan 2.892434e-33
3501.060000 nan 2.910446e-33
3503.060000 nan 2.843568e-33
3505.060000 nan 2.848729e-33
3507.060000 nan 2.823433e-33
3509.060000 nan 2.807541e-33
3511.060000 nan 2.818802e-33
3513.060000 nan 2.800233e-33
3515.060000 nan 2.701850e-33
3517.060000 nan 2.705878e-33
3519.060000 nan 2.702228e-33
3521.060000 nan 2.678603e-33
3523.060000 nan 2.640616e-33
3525.060000 nan 2.596718e-33
3527.060000 nan 2.555276e-33
3529.060000 nan 2.576173e-33
3531.060000 nan 2.586240e-33
3533.060000 nan 2.553930e-33
3535.060000 nan 2.503160e-33
3537.060000 nan 2.487569e-33
3539.060000 nan 2.551379e-33
3541.060000 nan 2.574247e-33
3543.060000 nan 2.561040e-33
3545.060000 nan 2.557095e-33
3547.060000 nan 2.553367e-33
3549.060000 nan 2.539818e-33
3551.060000 nan 2.537067e-33
3553.060000 nan 2.481236e-33
3555.060000 nan 2.425760e-33
3557.060000 nan 2.402625e-33
3559.060000 nan 2.400307e-33
3561.060000 nan 2.389511e-33
3563.060000 nan 2.342312e-33
3565.060000 nan 2.271647e-33
3567.060000 nan 2.216424e-33
3569.060000 nan 2.216805e-33
3571.060000 nan 2.196881e-33
3573.060000 nan 2.152658e-33
3575.060000 nan 2.130805e-33
3577.060000 nan 2.099806e-33
3579.060000 nan 2.108929e-33
3581.060000 nan 2.102996e-33
3583.060000 nan 2.073574e-33
3585.060000 nan 2.037421e-33
3587.060000 nan 2.016394e-33
3589.060000 nan 2.014111e-33
3591.060000 nan 2.003100e-33
3593.060000 nan 1.937726e-33
3595.060000 nan 1.900699e-33
3597.060000 nan 1.898980e-33
3599.060000 nan 1.909528e-33
3601.060000 nan 1.911374e-33
3603.060000 nan 1.897219e-33
3605.060000 nan 1.840629e-33
3607.060000 nan 1.800992e-33
3609.060000 nan 1.806905e-33
3611.060000 nan 1.825797e-33
3613.060000 nan 1.796813e-33
3615.060000 nan 1.815046e-33
3617.060000 nan 1.798819e-33
3619.060000 nan 1.794003e-33
3621.060000 nan 1.798806e-33
3623.060000 nan 1.795222e-33
3625.060000 nan 1.774485e-33
3627.060000 nan 1.781083e-33
3629.060000 nan 1.935777e-33
3631.060000 nan 1.967184e-33
3633.060000 nan 1.927218e-33
3635.060000 nan 1.874012e-33
3637.060000 nan 1.843320e-33
3639.060000 nan 1.833348e-33
3641.060000 nan 1.812406e-33
3643.060000 nan 1.768127e-33
3645.060000 nan 1.738984e-33
3647.060000 nan 1.713954e-33
3649.060000 nan 1.677458e-33
3651.060000 nan 1.635175e-33
3653.060000 nan 1.621836e-33
3655.060000 nan 1.621290e-33
3657.060000 nan 1.626800e-33
3659.060000 nan 1.625104e-33
3661.060000 nan 1.612818e-33
3663.060000 nan 1.593931e-33
3665.060000 nan 1.550244e-33
3667.060000 nan 1.525016e-33
3669.060000 nan 1.499411e-33
3671.060000 nan 1.474826e-33
3673.060000 nan 1.448410e-33
3675.060000 nan 1.415030e-33
3677.060000 nan 1.375184e-33
3679.060000 nan 1.360818e-33
3681.060000 nan 1.372678e-33
3683.060000 nan 1.373005e-33
3685.060000 nan 1.362495e-33
3687.060000 nan 1.356418e-33
3689.060000 nan 1.358040e-33
3691.060000 nan 1.332590e-33
3693.060000 nan 1.334446e-33
3695.060000 nan 1.319340e-33
3697.060000 nan 1.304533e-33
3699.060000 nan 1.309781e-33
3701.060000 nan 1.328150e-33
3703.060000 nan 1.320303e-33
3705.060000 nan 1.294245e-33
3707.060000 nan 1.284284e-33
3709.060000 nan 1.282013e-33
3711.060000 nan 1.284152e-33
3713.060000 nan 1.293712e-33
3715.060000 nan 1.287852e-33
