#OBJECT = ATLAS18tvc
#MJD-OBS = 58348.423391
#DATE-OBS = 2018-08-18T10:09:41
#EXPTIME = 1820.000000
#AIRMASS = 1.268000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3307.060000 nan 4.354331e-33
3309.060000 nan 4.149608e-33
3311.060000 nan 3.999858e-33
3313.060000 nan 3.926105e-33
3315.060000 nan 3.776461e-33
3317.060000 nan 3.725394e-33
3319.060000 nan 3.767790e-33
3321.060000 nan 3.879701e-33
3323.060000 nan 3.915790e-33
3325.060000 nan 3.698056e-33
3327.060000 nan 3.615773e-33
3329.060000 nan 3.775318e-33
3331.060000 nan 3.650282e-33
3333.060000 nan 3.452176e-33
3335.060000 nan 3.387051e-33
3337.060000 nan 3.459557e-33
3339.060000 nan 3.306694e-33
3341.060000 nan 3.224419e-33
3343.060000 nan 3.179963e-33
3345.060000 nan 3.142344e-33
3347.060000 nan 3.080937e-33
3349.060000 nan 2.981176e-33
3351.060000 nan 2.860978e-33
3353.060000 nan 2.778595e-33
3355.060000 nan 2.738148e-33
3357.060000 nan 2.666097e-33
3359.060000 nan 2.585870e-33
3361.060000 nan 2.545301e-33
3363.060000 nan 2.562233e-33
3365.060000 nan 2.560564e-33
3367.060000 nan 2.515783e-33
3369.060000 nan 2.586955e-33
3371.060000 nan 2.641073e-33
3373.060000 nan 2.602309e-33
3375.060000 nan 2.524258e-33
3377.060000 nan 2.414960e-33
3379.060000 nan 2.374121e-33
3381.060000 nan 2.356939e-33
3383.060000 nan 2.300482e-33
3385.060000 nan 2.216527e-33
3387.060000 nan 2.161408e-33
3389.060000 nan 2.145204e-33
3391.060000 nan 2.135649e-33
3393.060000 nan 2.115366e-33
3395.060000 nan 2.148716e-33
3397.060000 nan 2.182853e-33
3399.060000 nan 2.154255e-33
3401.060000 nan 2.106689e-33
3403.060000 nan 2.013674e-33
3405.060000 nan 1.941742e-33
3407.060000 nan 1.921098e-33
3409.060000 nan 1.904725e-33
3411.060000 nan 1.858068e-33
3413.060000 nan 1.803650e-33
3415.060000 nan 1.767443e-33
3417.060000 nan 1.743613e-33
3419.060000 nan 1.738503e-33
3421.060000 nan 1.738342e-33
3423.060000 nan 1.720120e-33
3425.060000 nan 1.669114e-33
3427.060000 nan 1.628358e-33
3429.060000 nan 1.600524e-33
3431.060000 nan 1.598997e-33
3433.060000 nan 1.579412e-33
3435.060000 nan 1.535233e-33
3437.060000 nan 1.489839e-33
3439.060000 nan 1.460527e-33
3441.060000 nan 1.425377e-33
3443.060000 nan 1.413812e-33
3445.060000 nan 1.393009e-33
3447.060000 nan 1.384248e-33
3449.060000 nan 1.405515e-33
3451.060000 nan 1.418210e-33
3453.060000 nan 1.406715e-33
3455.060000 nan 1.362578e-33
3457.060000 nan 1.346201e-33
3459.060000 nan 1.332835e-33
3461.060000 nan 1.302871e-33
3463.060000 nan 1.277265e-33
3465.060000 nan 1.259965e-33
3467.060000 nan 1.243972e-33
3469.060000 nan 1.223381e-33
3471.060000 nan 1.202985e-33
3473.060000 nan 1.190413e-33
3475.060000 nan 1.195388e-33
3477.060000 nan 1.237065e-33
3479.060000 nan 1.224568e-33
3481.060000 nan 1.199102e-33
3483.060000 nan 1.184183e-33
3485.060000 nan 1.169291e-33
3487.060000 nan 1.140443e-33
3489.060000 nan 1.131397e-33
3491.060000 nan 1.112174e-33
3493.060000 nan 1.106462e-33
3495.060000 nan 1.095752e-33
3497.060000 nan 1.069201e-33
3499.060000 nan 1.037262e-33
3501.060000 nan 1.034437e-33
3503.060000 nan 1.001534e-33
3505.060000 nan 1.011511e-33
3507.060000 nan 1.010606e-33
3509.060000 nan 9.972071e-34
3511.060000 nan 9.865731e-34
3513.060000 nan 9.900527e-34
3515.060000 nan 9.767508e-34
3517.060000 nan 9.720676e-34
3519.060000 nan 9.460604e-34
3521.060000 nan 9.402774e-34
3523.060000 nan 9.571806e-34
3525.060000 nan 9.612341e-34
3527.060000 nan 9.410168e-34
3529.060000 nan 9.524601e-34
3531.060000 nan 9.505811e-34
3533.060000 nan 9.308872e-34
3535.060000 nan 9.070755e-34
3537.060000 nan 8.990071e-34
3539.060000 nan 9.180532e-34
3541.060000 nan 9.243082e-34
3543.060000 nan 9.113031e-34
3545.060000 nan 9.076676e-34
3547.060000 nan 9.102719e-34
3549.060000 nan 9.051948e-34
3551.060000 nan 8.870308e-34
3553.060000 nan 9.011788e-34
3555.060000 nan 8.967000e-34
3557.060000 nan 8.809063e-34
3559.060000 nan 8.640223e-34
3561.060000 nan 8.513975e-34
3563.060000 nan 8.409734e-34
3565.060000 nan 8.278629e-34
3567.060000 nan 8.120534e-34
3569.060000 nan 8.037547e-34
3571.060000 nan 7.975294e-34
3573.060000 nan 7.892361e-34
3575.060000 nan 7.783532e-34
3577.060000 nan 7.662636e-34
3579.060000 nan 7.479427e-34
3581.060000 nan 7.454915e-34
3583.060000 nan 7.426588e-34
3585.060000 nan 7.352811e-34
3587.060000 nan 7.286624e-34
3589.060000 nan 7.297522e-34
3591.060000 nan 7.102683e-34
3593.060000 nan 7.023336e-34
3595.060000 nan 7.043402e-34
3597.060000 nan 6.903617e-34
3599.060000 nan 6.603468e-34
3601.060000 nan 6.603134e-34
3603.060000 nan 6.673245e-34
3605.060000 nan 6.621958e-34
3607.060000 nan 6.522901e-34
3609.060000 nan 6.542114e-34
3611.060000 nan 6.648975e-34
3613.060000 nan 6.629414e-34
3615.060000 nan 6.530287e-34
3617.060000 nan 6.409952e-34
3619.060000 nan 6.482262e-34
3621.060000 nan 6.522543e-34
3623.060000 nan 6.454997e-34
3625.060000 nan 6.364625e-34
3627.060000 nan 6.342244e-34
3629.060000 nan 6.904698e-34
3631.060000 nan 6.967192e-34
3633.060000 nan 6.824730e-34
3635.060000 nan 6.670175e-34
3637.060000 nan 6.556269e-34
3639.060000 nan 6.435403e-34
3641.060000 nan 6.442268e-34
3643.060000 nan 6.393258e-34
3645.060000 nan 6.287941e-34
3647.060000 nan 6.223247e-34
3649.060000 nan 6.209497e-34
3651.060000 nan 6.105583e-34
3653.060000 nan 5.921106e-34
3655.060000 nan 5.823375e-34
3657.060000 nan 5.781987e-34
