#OBJECT = ATLAS18twh
#MJD-OBS = 58348.468252
#DATE-OBS = 2018-08-18T11:14:17
#EXPTIME = 1220.000000
#AIRMASS = 1.585000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3307.060000 nan 9.247655e-33
3309.060000 nan 8.956901e-33
3311.060000 nan 8.601491e-33
3313.060000 nan 8.410956e-33
3315.060000 nan 8.125302e-33
3317.060000 nan 7.954045e-33
3319.060000 nan 7.857591e-33
3321.060000 nan 7.935729e-33
3323.060000 nan 8.004129e-33
3325.060000 nan 7.652061e-33
3327.060000 nan 7.237473e-33
3329.060000 nan 7.839455e-33
3331.060000 nan 7.910764e-33
3333.060000 nan 7.572368e-33
3335.060000 nan 7.327724e-33
3337.060000 nan 7.468046e-33
3339.060000 nan 7.156543e-33
3341.060000 nan 7.038513e-33
3343.060000 nan 6.801144e-33
3345.060000 nan 6.766273e-33
3347.060000 nan 6.735074e-33
3349.060000 nan 6.428565e-33
3351.060000 nan 6.090609e-33
3353.060000 nan 6.044463e-33
3355.060000 nan 5.888925e-33
3357.060000 nan 5.683325e-33
3359.060000 nan 5.548771e-33
3361.060000 nan 5.506112e-33
3363.060000 nan 5.419228e-33
3365.060000 nan 5.485416e-33
3367.060000 nan 5.647793e-33
3369.060000 nan 5.726605e-33
3371.060000 nan 5.659446e-33
3373.060000 nan 5.513723e-33
3375.060000 nan 5.433450e-33
3377.060000 nan 5.403358e-33
3379.060000 nan 5.321119e-33
3381.060000 nan 5.035117e-33
3383.060000 nan 4.886329e-33
3385.060000 nan 4.925943e-33
3387.060000 nan 4.927757e-33
3389.060000 nan 4.645861e-33
3391.060000 nan 4.750995e-33
3393.060000 nan 4.562643e-33
3395.060000 nan 4.598621e-33
3397.060000 nan 4.735937e-33
3399.060000 nan 4.694421e-33
3401.060000 nan 4.625299e-33
3403.060000 nan 4.530218e-33
3405.060000 nan 4.378221e-33
3407.060000 nan 4.255173e-33
3409.060000 nan 4.111398e-33
3411.060000 nan 3.932478e-33
3413.060000 nan 3.817157e-33
3415.060000 nan 3.862180e-33
3417.060000 nan 3.929155e-33
3419.060000 nan 3.836235e-33
