#OBJECT = Gaia18cfe
#MJD-OBS = 58348.269074
#DATE-OBS = 2018-08-18T06:27:28
#EXPTIME = 1220.000000
#AIRMASS = 1.117000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3307.060000 nan 4.670822e-33
3309.060000 nan 4.549313e-33
3311.060000 nan 4.272550e-33
3313.060000 nan 4.168402e-33
3315.060000 nan 4.030206e-33
3317.060000 nan 4.091474e-33
3319.060000 nan 4.018895e-33
3321.060000 nan 3.994084e-33
3323.060000 nan 4.036961e-33
3325.060000 nan 3.904291e-33
3327.060000 nan 3.795889e-33
3329.060000 nan 4.078262e-33
3331.060000 nan 3.991228e-33
3333.060000 nan 3.831249e-33
3335.060000 nan 3.749128e-33
3337.060000 nan 3.668652e-33
3339.060000 nan 3.577458e-33
3341.060000 nan 3.561647e-33
3343.060000 nan 3.458636e-33
3345.060000 nan 3.390585e-33
3347.060000 nan 3.299100e-33
3349.060000 nan 3.156082e-33
3351.060000 nan 3.231872e-33
3353.060000 nan 3.077230e-33
3355.060000 nan 2.984437e-33
3357.060000 nan 2.960100e-33
3359.060000 nan 2.919625e-33
3361.060000 nan 2.841556e-33
3363.060000 nan 2.844456e-33
3365.060000 nan 2.989549e-33
3367.060000 nan 2.947171e-33
3369.060000 nan 2.880053e-33
3371.060000 nan 2.834214e-33
3373.060000 nan 2.821321e-33
3375.060000 nan 2.830964e-33
3377.060000 nan 2.788798e-33
3379.060000 nan 2.663194e-33
3381.060000 nan 2.614466e-33
3383.060000 nan 2.598241e-33
3385.060000 nan 2.564441e-33
3387.060000 nan 2.494609e-33
3389.060000 nan 2.418482e-33
3391.060000 nan 2.449179e-33
3393.060000 nan 2.425783e-33
3395.060000 nan 2.495773e-33
3397.060000 nan 2.590077e-33
3399.060000 nan 2.583327e-33
3401.060000 nan 2.488231e-33
3403.060000 nan 2.361190e-33
3405.060000 nan 2.251228e-33
3407.060000 nan 2.198329e-33
3409.060000 nan 2.187189e-33
3411.060000 nan 2.172727e-33
3413.060000 nan 2.111087e-33
3415.060000 nan 2.085674e-33
3417.060000 nan 2.083502e-33
3419.060000 nan 2.014914e-33
3421.060000 nan 1.937723e-33
3423.060000 nan 1.897954e-33
3425.060000 nan 1.897776e-33
3427.060000 nan 1.946985e-33
3429.060000 nan 1.904636e-33
3431.060000 nan 1.871088e-33
3433.060000 nan 1.836694e-33
3435.060000 nan 1.797927e-33
3437.060000 nan 1.758156e-33
3439.060000 nan 1.706263e-33
3441.060000 nan 1.698650e-33
3443.060000 nan 1.691629e-33
3445.060000 nan 1.670941e-33
3447.060000 nan 1.667617e-33
3449.060000 nan 1.683678e-33
3451.060000 nan 1.635198e-33
3453.060000 nan 1.636059e-33
3455.060000 nan 1.604804e-33
3457.060000 nan 1.588308e-33
3459.060000 nan 1.548801e-33
3461.060000 nan 1.479111e-33
3463.060000 nan 1.442250e-33
3465.060000 nan 1.471311e-33
3467.060000 nan 1.476820e-33
3469.060000 nan 1.444436e-33
3471.060000 nan 1.411505e-33
3473.060000 nan 1.394535e-33
3475.060000 nan 1.382973e-33
3477.060000 nan 1.378008e-33
3479.060000 nan 1.351017e-33
3481.060000 nan 1.346359e-33
3483.060000 nan 1.366882e-33
3485.060000 nan 1.380282e-33
3487.060000 nan 1.353578e-33
3489.060000 nan 1.304668e-33
3491.060000 nan 1.312816e-33
3493.060000 nan 1.312968e-33
3495.060000 nan 1.301066e-33
3497.060000 nan 1.294276e-33
3499.060000 nan 1.295115e-33
3501.060000 nan 1.269193e-33
