#OBJECT = ZTF18abm
#MJD-OBS = 58348.305683
#DATE-OBS = 2018-08-18T07:20:11
#EXPTIME = 920.000000
#AIRMASS = 1.024000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3307.060000 nan 8.287323e-33
3309.060000 nan 8.044844e-33
3311.060000 nan 7.805875e-33
3313.060000 nan 7.781341e-33
3315.060000 nan 7.335483e-33
3317.060000 nan 7.435715e-33
3319.060000 nan 7.590725e-33
3321.060000 nan 7.586616e-33
3323.060000 nan 7.393633e-33
3325.060000 nan 7.121840e-33
3327.060000 nan 6.905367e-33
3329.060000 nan 7.439944e-33
3331.060000 nan 7.498613e-33
3333.060000 nan 7.241829e-33
3335.060000 nan 7.046927e-33
3337.060000 nan 7.113280e-33
3339.060000 nan 6.989356e-33
3341.060000 nan 6.937235e-33
3343.060000 nan 6.757383e-33
3345.060000 nan 6.551394e-33
3347.060000 nan 6.340392e-33
3349.060000 nan 6.160102e-33
3351.060000 nan 6.190343e-33
3353.060000 nan 6.005772e-33
3355.060000 nan 5.898411e-33
3357.060000 nan 5.807331e-33
3359.060000 nan 5.641832e-33
3361.060000 nan 5.402282e-33
3363.060000 nan 5.250032e-33
3365.060000 nan 5.517766e-33
3367.060000 nan 5.510847e-33
3369.060000 nan 5.458012e-33
3371.060000 nan 5.424981e-33
3373.060000 nan 5.391616e-33
3375.060000 nan 5.297066e-33
3377.060000 nan 5.147996e-33
3379.060000 nan 4.888320e-33
3381.060000 nan 4.915918e-33
3383.060000 nan 4.982867e-33
3385.060000 nan 4.945055e-33
3387.060000 nan 4.813245e-33
3389.060000 nan 4.624189e-33
3391.060000 nan 4.602904e-33
3393.060000 nan 4.535647e-33
3395.060000 nan 4.689195e-33
3397.060000 nan 4.826919e-33
3399.060000 nan 4.712994e-33
3401.060000 nan 4.664123e-33
3403.060000 nan 4.615806e-33
3405.060000 nan 4.419657e-33
3407.060000 nan 4.244860e-33
3409.060000 nan 4.154052e-33
3411.060000 nan 4.120048e-33
3413.060000 nan 4.055879e-33
3415.060000 nan 3.982424e-33
3417.060000 nan 3.978049e-33
3419.060000 nan 3.932176e-33
3421.060000 nan 3.898570e-33
