#OBJECT = ZTF18abmeehs
#MJD-OBS = 58348.345324
#DATE-OBS = 2018-08-18T08:17:16
#EXPTIME = 1520.000000
#AIRMASS = 1.018000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3305.060000 -3.647750e-17 3.085853e-33
3307.060000 -5.163920e-18 2.813580e-33
3309.060000 8.441177e-18 2.924371e-33
3311.060000 -9.839608e-18 3.285053e-33
3313.060000 6.557112e-17 3.757454e-33
3315.060000 2.883849e-17 3.497480e-33
3317.060000 -1.425282e-17 2.807592e-33
3319.060000 -1.401975e-17 2.490324e-33
3321.060000 -6.763712e-17 2.496927e-33
3323.060000 -1.460270e-16 2.774799e-33
3325.060000 -5.258292e-17 3.353883e-33
3327.060000 2.995036e-17 3.382089e-33
3329.060000 3.802435e-17 2.966160e-33
3331.060000 -3.194001e-18 2.500723e-33
3333.060000 -4.034310e-17 2.377578e-33
3335.060000 -3.827132e-17 2.591455e-33
3337.060000 8.985491e-18 3.233068e-33
3339.060000 -6.714039e-17 3.234715e-33
3341.060000 -4.798871e-17 2.752428e-33
3343.060000 -2.762354e-17 2.297088e-33
3345.060000 4.200617e-18 2.130979e-33
3347.060000 2.178013e-17 2.257290e-33
3349.060000 3.713193e-18 2.569938e-33
3351.060000 -9.839481e-19 2.815073e-33
3353.060000 -1.607380e-17 2.470485e-33
3355.060000 -3.530500e-17 2.050471e-33
3357.060000 -6.461414e-17 1.827320e-33
3359.060000 -6.259619e-17 1.874581e-33
3361.060000 -2.118456e-17 2.177128e-33
3363.060000 -1.913513e-17 2.515949e-33
3365.060000 -1.639296e-17 2.431666e-33
3367.060000 -3.475662e-17 2.072457e-33
3369.060000 -3.549504e-17 1.827430e-33
3371.060000 -2.907050e-17 1.821880e-33
3373.060000 -2.424538e-17 2.041359e-33
3375.060000 -2.422857e-17 2.416846e-33
3377.060000 -2.487472e-17 2.386375e-33
3379.060000 -3.029593e-17 1.930538e-33
3381.060000 -1.317680e-18 1.671736e-33
3383.060000 4.096630e-17 1.628546e-33
3385.060000 5.365425e-17 1.805509e-33
3387.060000 -3.670931e-18 2.082542e-33
3389.060000 -5.291291e-17 2.121433e-33
3391.060000 -5.469746e-17 1.820958e-33
3393.060000 -1.216561e-17 1.568838e-33
3395.060000 5.639221e-17 1.549519e-33
3397.060000 7.278082e-17 1.724480e-33
3399.060000 -7.657285e-18 1.910976e-33
3401.060000 -3.955732e-17 2.066779e-33
3403.060000 1.247433e-17 1.879955e-33
3405.060000 4.669269e-17 1.568343e-33
3407.060000 6.420920e-17 1.404652e-33
3409.060000 6.798230e-17 1.440326e-33
3411.060000 4.825023e-17 1.651374e-33
3413.060000 -3.486491e-17 1.819689e-33
3415.060000 -2.515564e-17 1.724542e-33
3417.060000 -1.987176e-17 1.478494e-33
3419.060000 -4.536348e-17 1.256012e-33
3421.060000 -5.324938e-17 1.225967e-33
3423.060000 -3.685997e-17 1.375441e-33
3425.060000 -3.112344e-17 1.639139e-33
3427.060000 3.537133e-17 1.685805e-33
3429.060000 3.948868e-17 1.385108e-33
3431.060000 9.619976e-18 1.152363e-33
3433.060000 -1.913420e-17 1.086237e-33
3435.060000 -4.028292e-17 1.174088e-33
3437.060000 -6.069587e-17 1.371893e-33
3439.060000 -7.524738e-17 1.406904e-33
3441.060000 2.811194e-17 1.319360e-33
3443.060000 -6.679585e-18 1.060664e-33
3445.060000 -3.569666e-17 9.746471e-34
3447.060000 -4.104466e-17 1.045093e-33
3449.060000 -3.124954e-17 1.268439e-33
3451.060000 1.525958e-18 1.432370e-33
3453.060000 2.992291e-17 1.332857e-33
3455.060000 -2.267977e-17 1.053757e-33
3457.060000 -6.089351e-17 9.198692e-34
3459.060000 -5.970306e-17 9.292116e-34
3461.060000 -2.839480e-17 1.065681e-33
3463.060000 -1.901250e-17 1.247841e-33
3465.060000 -1.361459e-17 1.241508e-33
3467.060000 -2.371870e-17 1.003946e-33
3469.060000 -9.710631e-18 8.880361e-34
3471.060000 7.259428e-19 8.783253e-34
3473.060000 -5.836997e-18 9.728474e-34
3475.060000 -2.713966e-17 1.134200e-33
3477.060000 -4.799039e-17 1.191316e-33
3479.060000 -1.457743e-17 1.034520e-33
3481.060000 1.934436e-17 9.053425e-34
3483.060000 3.391722e-17 8.677149e-34
3485.060000 3.850839e-17 9.432676e-34
3487.060000 4.886692e-17 1.101084e-33
3489.060000 2.791974e-17 1.166663e-33
3491.060000 2.846754e-17 1.026832e-33
3493.060000 1.258407e-17 8.550513e-34
3495.060000 4.775327e-18 7.900995e-34
3497.060000 -4.509630e-18 8.333758e-34
3499.060000 -1.860613e-17 9.517077e-34
3501.060000 4.016827e-19 1.105952e-33
3503.060000 -1.747464e-17 9.920227e-34
3505.060000 -3.156389e-17 8.408345e-34
3507.060000 -1.862383e-17 7.693219e-34
3509.060000 8.739226e-18 7.920522e-34
3511.060000 3.244044e-17 9.006557e-34
3513.060000 3.303131e-17 1.064080e-33
3515.060000 9.051897e-18 1.026326e-33
3517.060000 2.121269e-17 8.622747e-34
3519.060000 2.939323e-17 7.488087e-34
3521.060000 1.866666e-17 7.274884e-34
3523.060000 -6.874058e-18 7.957287e-34
3525.060000 -2.884452e-17 9.193167e-34
3527.060000 -3.780663e-17 9.499315e-34
3529.060000 1.400362e-17 8.513281e-34
3531.060000 1.231831e-17 7.248852e-34
3533.060000 -1.081167e-17 6.746660e-34
3535.060000 -3.218102e-17 7.159586e-34
3537.060000 -3.262656e-17 8.469094e-34
3539.060000 2.209782e-18 9.640531e-34
3541.060000 2.812115e-17 8.961752e-34
3543.060000 1.884952e-18 7.371669e-34
3545.060000 -1.815502e-17 6.716201e-34
3547.060000 -2.373418e-17 7.049879e-34
3549.060000 -1.710146e-17 8.276170e-34
3551.060000 -2.683453e-18 9.446288e-34
3553.060000 3.150364e-18 8.994134e-34
3555.060000 1.608389e-17 7.434310e-34
3557.060000 -9.589044e-19 6.453013e-34
3559.060000 -4.145659e-18 6.475144e-34
3561.060000 1.587718e-17 7.475257e-34
3563.060000 1.728179e-17 8.938635e-34
3565.060000 -3.171979e-17 8.577079e-34
3567.060000 -1.948554e-17 7.134565e-34
3569.060000 -1.649997e-18 6.251734e-34
3571.060000 1.275934e-17 6.079808e-34
3573.060000 1.846657e-17 6.672800e-34
3575.060000 1.487518e-17 7.894528e-34
3577.060000 2.057903e-17 8.398695e-34
3579.060000 3.810638e-17 7.429661e-34
3581.060000 3.133134e-17 6.097152e-34
3583.060000 1.191261e-18 5.576143e-34
3585.060000 -1.571297e-17 5.872990e-34
3587.060000 1.085486e-17 6.937121e-34
3589.060000 2.876504e-17 7.753127e-34
3591.060000 1.062183e-17 7.045593e-34
3593.060000 8.776433e-18 5.872105e-34
3595.060000 3.591677e-18 5.289921e-34
3597.060000 6.858403e-18 5.464732e-34
3599.060000 1.977898e-17 6.313593e-34
3601.060000 1.030994e-17 7.153694e-34
3603.060000 1.223422e-18 6.645975e-34
3605.060000 1.375997e-17 5.542411e-34
3607.060000 1.952706e-17 4.876528e-34
3609.060000 1.307257e-17 4.899846e-34
3611.060000 8.238627e-18 5.614661e-34
3613.060000 3.582722e-17 6.992179e-34
3615.060000 -1.258040e-18 6.945734e-34
3617.060000 9.299910e-18 5.776879e-34
3619.060000 -2.929270e-18 4.944804e-34
3621.060000 -1.894608e-17 4.792350e-34
3623.060000 -2.070369e-17 5.339629e-34
3625.060000 2.881109e-18 6.496972e-34
3627.060000 1.240941e-17 6.739911e-34
3629.060000 1.101565e-18 6.513982e-34
3631.060000 -1.256256e-17 5.496267e-34
3633.060000 -2.068163e-17 5.106653e-34
3635.060000 -1.643828e-17 5.450877e-34
3637.060000 -1.807361e-19 6.460955e-34
3639.060000 4.391866e-18 7.177685e-34
3641.060000 2.040856e-17 6.535073e-34
3643.060000 1.919874e-17 5.391624e-34
3645.060000 1.026560e-17 4.801794e-34
3647.060000 4.968200e-18 4.920479e-34
3649.060000 7.506365e-18 5.698280e-34
3651.060000 7.428145e-18 6.660368e-34
3653.060000 6.605484e-18 6.363165e-34
3655.060000 -1.035179e-17 5.218769e-34
3657.060000 -1.724120e-17 4.586016e-34
3659.060000 -2.048626e-17 4.525033e-34
3661.060000 -2.234256e-17 4.985716e-34
3663.060000 -2.006017e-17 5.873986e-34
3665.060000 -2.506917e-17 5.881479e-34
3667.060000 -2.986478e-17 4.906835e-34
3669.060000 -3.056974e-17 4.204656e-34
3671.060000 -1.923282e-17 4.043500e-34
3673.060000 -5.987457e-18 4.442242e-34
3675.060000 -6.790271e-18 5.211574e-34
3677.060000 -1.073818e-17 5.475668e-34
3679.060000 -7.979559e-18 4.881033e-34
3681.060000 6.300016e-18 4.164423e-34
3683.060000 -1.394651e-18 3.796959e-34
3685.060000 -1.592887e-17 3.945749e-34
3687.060000 -1.713420e-17 4.552612e-34
3689.060000 -1.029402e-17 5.155970e-34
3691.060000 3.559095e-18 4.890506e-34
3693.060000 1.681152e-17 4.182871e-34
3695.060000 1.993091e-17 3.757908e-34
3697.060000 1.336072e-17 3.838194e-34
3699.060000 2.675518e-18 4.377759e-34
3701.060000 -9.602323e-19 5.185626e-34
3703.060000 2.266999e-17 5.201022e-34
3705.060000 2.167088e-17 4.235165e-34
3707.060000 3.079910e-17 3.720708e-34
3709.060000 3.809397e-17 3.703436e-34
3711.060000 3.202245e-17 4.192286e-34
3713.060000 5.744234e-18 5.056207e-34
3715.060000 5.924934e-18 5.110595e-34
3717.060000 9.629444e-18 4.346475e-34
3719.060000 1.651249e-17 3.729019e-34
3721.060000 1.751136e-17 3.542142e-34
3723.060000 1.270422e-17 3.831751e-34
3725.060000 4.953916e-18 4.478836e-34
3727.060000 -1.612629e-17 4.881088e-34
3729.060000 1.250367e-17 4.562828e-34
3731.060000 -5.437884e-18 3.779926e-34
3733.060000 -1.797857e-17 3.426406e-34
3735.060000 -1.788562e-17 3.586623e-34
3737.060000 -8.319252e-18 4.257497e-34
3739.060000 6.274660e-18 4.942524e-34
3741.060000 5.164602e-18 4.645801e-34
3743.060000 -9.348952e-18 3.760283e-34
3745.060000 -8.289714e-18 3.382912e-34
3747.060000 1.200378e-18 3.465764e-34
3749.060000 7.499202e-18 3.960102e-34
