# Name RA DEC fname
GD71 75.1150822025104 +15.8870079555433 /home/michael/Documents/Science/scripts/Observing/standard_files/fgd71.dat
Feige67 190.4657923760814 +17.5221529424084 /home/michael/Documents/Science/scripts/Observing/standard_files/ffeige67.dat
EG131 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/feg131.dat
GD153 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fGD153.dat
HR718 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fhr718.dat
HR9087 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fhr9087.dat
Feige110 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/ffeige110.dat
HR8634 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fhr8634.dat
HR7596 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fhr7596.dat
BD+174708 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fbd+174708.dat
HD93521 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fhd93521.dat
HR5501 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fhr5501.dat
HR3454 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fhr3454.dat
HR4963 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fhr4963.dat
HR4468 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fhr4468.dat
HR1544 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fhr1544.dat
LTT2415 00 00 /home/michael/Documents/Science/scripts/Observing/standard_files/fltt2415.dat 
